iter	Passed	Remaining
0	3	375
1	8	411
2	12	419
3	15	378
4	21	400
5	25	397
6	28	378
7	31	363
8	35	357
9	38	347
10	42	343
11	45	335
12	49	332
13	51	318
14	54	306
15	56	296
16	58	284
17	60	274
18	62	265
19	64	256
20	65	247
21	67	239
22	69	233
23	71	227
24	73	221
25	75	216
26	77	210
27	79	204
28	81	198
29	83	194
30	84	189
31	86	184
32	89	181
33	91	176
34	92	172
35	94	167
36	96	163
37	98	160
38	100	156
39	101	152
40	103	149
41	104	144
42	106	141
43	108	137
44	109	134
45	111	131
46	113	127
47	115	124
48	117	122
49	119	119
50	121	116
51	122	113
52	124	110
53	126	107
54	127	104
55	129	101
56	131	99
57	133	96
58	135	93
59	136	91
60	138	88
61	140	86
62	141	83
63	143	80
64	145	78
65	147	75
66	149	73
67	150	70
68	151	68
69	153	65
70	155	63
71	157	61
72	159	59
73	162	57
74	165	55
75	167	52
76	169	50
77	171	48
78	173	46
79	175	43
80	177	41
81	179	39
82	180	37
83	182	34
84	184	32
85	185	30
86	187	28
87	189	25
88	192	23
89	194	21
90	195	19
91	197	17
92	199	14
93	200	12
94	202	10
95	204	8
96	206	6
97	208	4
98	210	2
99	211	0
